complaint_id,citizen_id,department,region,category,severity,status,complaint_date,resolution_date,resolution_days,description,citizen_rating,mode_of_complaint,assigned_officer
GRV00001,CIT23434,Fire Services,South District,Water Shortage,Medium,In Progress,2022-10-13,,,No water supply for past this days in our area,,Online Portal,Officer_115
GRV00002,CIT38893,Roads & Infrastructure,South District,Bus Route Issue,Low,Pending,2024-05-09,,,Repeated complaint about our in 27 area still unresolved,,Mobile App,Officer_457
GRV00003,CIT22156,Revenue Department,Industrial Area,Property Tax,Critical,Resolved,2023-11-21,2023-11-23,2.0,Repeated complaint about our in our area still unresolved,5,Walk-in,Officer_122
GRV00004,CIT48427,Environment Department,Old City,Water Quality,Critical,Resolved,2022-06-11,2022-06-20,9.0,No action taken on Old City complaint since 24 days,1,Mobile App,Officer_495
GRV00005,CIT57819,Health Services,South District,Bus Route Issue,Medium,Closed,2024-07-17,2024-08-31,45.0,Urgent complaint about our affecting citizens,2,Walk-in,Officer_459
GRV00006,CIT31417,Fire Services,Hill Station,Power Outage,Low,Pending,2023-05-17,,,Power fluctuation damaging home appliances in our,,Email,Officer_212
GRV00007,CIT45093,Fire Services,Industrial Area,Road Damage,Low,Resolved,2023-10-09,2023-12-09,61.0,Pothole on main road causing accidents near our,2,Phone,Officer_302
GRV00008,CIT66155,Fire Services,Old City,Street Light Failure,Medium,Resolved,2023-06-23,2023-08-04,42.0,Repeated complaint about Old City in this area still unresolved,1,Online Portal,Officer_156
GRV00009,CIT60432,Electricity Board,Hill Station,Drainage Issue,Medium,In Progress,2022-05-11,,,Stagnant water breeding mosquitoes near this,,Email,Officer_228
GRV00010,CIT94012,Housing Authority,North District,Garbage Collection,Medium,Pending,2023-07-01,,,Garbage dumped on road since our week near North District,,Phone,Officer_101
GRV00011,CIT23947,Environment Department,Coastal Ward,Property Tax,High,Reopened,2024-11-05,,,No action taken on Coastal Ward complaint since our days,,Mobile App,Officer_376
GRV00012,CIT41385,Housing Authority,North District,Sewage Overflow,Low,Resolved,2024-01-14,2024-03-03,49.0,Serious issue regarding 9 in our locality,1,Phone,Officer_135
GRV00013,CIT44741,Housing Authority,East District,Street Light Failure,Critical,Pending,2022-12-05,,,Repeated complaint about East District in our area still unresolved,,Phone,Officer_443
GRV00014,CIT18392,Fire Services,Industrial Area,Poor Service,Medium,Closed,2023-05-23,2023-06-11,19.0,No action taken on Industrial Area complaint since Industrial Area days,1,Online Portal,Officer_462
GRV00015,CIT77391,Fire Services,North District,Bus Route Issue,Low,Resolved,2023-11-08,2023-11-27,19.0,Urgent complaint about this affecting citizens,2,Email,Officer_167
GRV00016,CIT34957,Environment Department,Riverside Block,Road Construction Delay,High,Pending,2024-04-13,,,Serious issue regarding this in our locality,,Walk-in,Officer_316
GRV00017,CIT17944,Revenue Department,Old City,Road Damage,Critical,Pending,2022-07-21,,,Broken road surface causing vehicle damage in our,,Online Portal,Officer_227
GRV00018,CIT68082,Municipal Sanitation,West District,Water Quality,Medium,Resolved,2023-05-27,2023-06-05,9.0,Serious issue regarding 3 in our locality,1,Mobile App,Officer_185
GRV00019,CIT59672,Revenue Department,Old City,Delayed Response,Medium,Resolved,2022-05-01,2022-05-16,15.0,Serious issue regarding our in our locality,4,Walk-in,Officer_316
GRV00020,CIT48890,Environment Department,Coastal Ward,Water Quality,Medium,Pending,2023-01-24,,,Urgent complaint about 3 affecting citizens,,Walk-in,Officer_129
GRV00021,CIT20500,Water Supply,North District,Delayed Response,High,Pending,2024-11-06,,,Urgent complaint about 4 affecting citizens,,Mobile App,Officer_306
GRV00022,CIT51467,Roads & Infrastructure,North District,Bus Route Issue,Low,Pending,2024-12-06,,,No action taken on our complaint since our days,,Phone,Officer_167
GRV00023,CIT11220,Fire Services,Hill Station,School Facilities,Critical,Pending,2022-05-29,,,Repeated complaint about 21 in Hill Station area still unresolved,,Email,Officer_235
GRV00024,CIT81200,Electricity Board,Industrial Area,Power Outage,Medium,Closed,2022-11-20,2022-12-23,33.0,Transformer damaged causing outage in 21 area,5,Walk-in,Officer_439
GRV00025,CIT89276,Roads & Infrastructure,Suburban Area,Property Tax,Low,Resolved,2023-07-12,2023-08-27,46.0,Urgent complaint about our affecting citizens,2,Walk-in,Officer_358
GRV00026,CIT10464,Education Department,Central Zone,Road Damage,Medium,Resolved,2023-07-21,2023-07-28,7.0,Street not repaired since Central Zone months in our area,2,Phone,Officer_382
GRV00027,CIT14722,Environment Department,Suburban Area,Water Quality,Low,Resolved,2022-11-02,2023-01-20,79.0,No action taken on Suburban Area complaint since Suburban Area days,1,Walk-in,Officer_286
GRV00028,CIT91351,Water Supply,Central Zone,Hospital Service,High,Pending,2024-04-12,,,Urgent complaint about Central Zone affecting citizens,,Mobile App,Officer_311
GRV00029,CIT44970,Water Supply,Old City,Noise Pollution,Medium,In Progress,2023-05-24,,,Urgent complaint about 27 affecting citizens,,Phone,Officer_119
GRV00030,CIT39831,Education Department,West District,Hospital Service,Medium,In Progress,2023-09-18,,,Urgent complaint about West District affecting citizens,,Phone,Officer_268
GRV00031,CIT25118,Health Services,South District,Property Tax,Medium,Resolved,2023-11-10,2023-11-16,6.0,No action taken on our complaint since 3 days,5,Phone,Officer_276
GRV00032,CIT85574,Environment Department,Industrial Area,Corruption,Medium,Pending,2024-02-28,,,Urgent complaint about 10 affecting citizens,,Phone,Officer_100
GRV00033,CIT51145,Housing Authority,New Township,Hospital Service,Low,Resolved,2023-11-08,2024-02-05,89.0,Serious issue regarding our in our locality,5,Walk-in,Officer_441
GRV00034,CIT65108,Revenue Department,Industrial Area,Encroachment,Medium,Pending,2023-01-28,,,Repeated complaint about Industrial Area in our area still unresolved,,Phone,Officer_380
GRV00035,CIT67905,Water Supply,Suburban Area,School Facilities,High,Resolved,2023-10-22,2023-11-08,17.0,Repeated complaint about Suburban Area in this area still unresolved,2,Online Portal,Officer_245
GRV00036,CIT50687,Housing Authority,Hill Station,Sewage Overflow,High,Resolved,2023-04-27,2023-05-21,24.0,Urgent complaint about Hill Station affecting citizens,2,Online Portal,Officer_123
GRV00037,CIT60328,Municipal Sanitation,Central Zone,Sewage Overflow,Low,In Progress,2023-02-03,,,Repeated complaint about Central Zone in 6 area still unresolved,,Online Portal,Officer_498
GRV00038,CIT16582,Revenue Department,West District,Drainage Issue,High,In Progress,2024-08-09,,,Sewage overflow on main road near 29,,Phone,Officer_168
GRV00039,CIT90301,Education Department,Hill Station,Documentation Issue,Medium,Reopened,2024-06-25,,,Repeated complaint about this in Hill Station area still unresolved,,Phone,Officer_330
GRV00040,CIT45992,Health Services,West District,Property Tax,Medium,In Progress,2023-05-05,,,Repeated complaint about our in our area still unresolved,,Walk-in,Officer_263
GRV00041,CIT18418,Housing Authority,South District,Street Light Failure,Medium,Resolved,2022-11-09,2022-11-27,18.0,Repeated complaint about our in this area still unresolved,4,Online Portal,Officer_205
GRV00042,CIT10772,Revenue Department,Suburban Area,Road Construction Delay,Low,Closed,2024-02-19,2024-04-30,71.0,No action taken on this complaint since this days,5,Email,Officer_408
GRV00043,CIT71261,Municipal Sanitation,Central Zone,Bus Route Issue,Medium,Resolved,2024-04-08,2024-04-23,15.0,Urgent complaint about 21 affecting citizens,4,Email,Officer_388
